<MAP>:Tropicali:MEDIA/MAPS/TROPICALI:MEDIA/SKIES/BLUE:MEDIA/MAPS/TROPICALI/THUMBNAIL:MEDIA/MUSIC/TRACK2:64:200,80,250:90,219,206:255,255,255:1
<MAP>:Moonlight Cove:MEDIA/MAPS/MOONLIGHT:MEDIA/SKIES/NIGHT:MEDIA/MAPS/MOONLIGHT/THUMBNAIL:MEDIA/MUSIC/TRACK1:75:200,80,250:98,105,190:134,121,250:0
<MAP>:Voodoo Isles:MEDIA/MAPS/VOODOO:MEDIA/SKIES/PURPLE:MEDIA/MAPS/VOODOO/THUMBNAIL:MEDIA/MUSIC/TRACK2:64:-200,120,-250:102,53,202:220,210,255:0
<MAP>:Old Gods:MEDIA/MAPS/OLDGODS:MEDIA/SKIES/GREEN:MEDIA/MAPS/OLDGODS/THUMBNAIL:MEDIA/MUSIC/TRACK1:64:250,90,-200:19,253,170:255,255,255:1
<MAP>:Pyramids:MEDIA/MAPS/PYRAMIDS:MEDIA/SKIES/DESERT:MEDIA/MAPS/PYRAMIDS/THUMBNAIL:MEDIA/MUSIC/TRACK1:100:-250,85,250:205,229,64:255,255,255:1
<MAP>:Nightbridge:MEDIA/MAPS/NIGHTBRIDGE:MEDIA/SKIES/NIGHT:MEDIA/MAPS/NIGHTBRIDGE/THUMBNAIL:MEDIA/MUSIC/TRACK1:64:200,80,250:98,105,190:134,121,250:0
<MAP>:Crossbones:MEDIA/MAPS/CROSSBONES:MEDIA/SKIES/DESERT:MEDIA/MAPS/CROSSBONES/THUMBNAIL:MEDIA/MUSIC/TRACK1:64:-250,85,-250:205,229,64:255,255,255:1
<MAP>:Volcano!:MEDIA/MAPS/VOLCANO:MEDIA/SKIES/GREEN:MEDIA/MAPS/VOLCANO/THUMBNAIL:MEDIA/MUSIC/TRACK1:128:-200,120,-250:102,53,202:220,210,255:1
<MAP>:Ziggurat:MEDIA/MAPS/ZIGGURAT:MEDIA/SKIES/BLUE:MEDIA/MAPS/ZIGGURAT/THUMBNAIL:MEDIA/MUSIC/TRACK2:110:200,80,250:90,219,206:255,255,255:1
<MAP>:Skull Isle:MEDIA/MAPS/SKULLISLE:MEDIA/SKIES/DESERT:MEDIA/MAPS/SKULLISLE/THUMBNAIL:MEDIA/MUSIC/TRACK1:64:-250,85,250:205,229,64:255,255,255:1
<MAP>:Overboard:MEDIA/MAPS/SHIP:MEDIA/SKIES/PURPLE:MEDIA/MAPS/SHIP/THUMBNAIL:MEDIA/MUSIC/TRACK2:64:-200,120,-250:102,53,202:220,210,255:0

