<PROPPOS>:MEDIA/PROPS/FIREHEAD:48,40,48:0
<PROP>:MEDIA/PROPS/TNT:18,18:50
<PROP>:MEDIA/PROPS/TNT:78,18:50
<PROP>:MEDIA/PROPS/TNT:18,78:50
<PROP>:MEDIA/PROPS/TNT:78,78:50
<PROP>:MEDIA/PROPS/TNT:23,23:50
<PROP>:MEDIA/PROPS/TNT:73,23:50
<PROP>:MEDIA/PROPS/TNT:23,73:50
<PROP>:MEDIA/PROPS/TNT:73,73:50
<PROP>:MEDIA/PROPS/TNT:28,28:50
<PROP>:MEDIA/PROPS/TNT:68,28:50
<PROP>:MEDIA/PROPS/TNT:28,68:50
<PROP>:MEDIA/PROPS/TNT:68,68:50
<PROP>:MEDIA/PROPS/PALM:22,12:20
<PROP>:MEDIA/PROPS/PALM:22,31:50
<PROP>:MEDIA/PROPS/PALM:55,35:260
<PROP>:MEDIA/PROPS/PALM:48,35:30
<PROP>:MEDIA/PROPS/PALM:15,77:90
<PROP>:MEDIA/PROPS/PALM:66,68:180
<PROP>:MEDIA/PROPS/PALM:38,49:180
<PROP>:MEDIA/PROPS/PALM:69,16:180
<PROP>:MEDIA/PROPS/PALM:70,15:180
<CLOUD>:0:50,86,34:50,.7,.2
<CLOUD>:0:40,80,50:50,.8,.1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:41,47:180:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:53,52:48:1.2,1.2
<DECORATION>:MEDIA/OBJECTS/BRUSH2:52,35:36:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:21,66:36:.8,.8
<DECORATION>:MEDIA/OBJECTS/BRUSH2:23,71:89:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:38,39:140:.9,.9
<DECORATION>:MEDIA/OBJECTS/BRUSH2:57,38:36:1.5,1.5
<DECORATION>:MEDIA/OBJECTS/BRUSH2:72,76:89:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:70,23:49:.9,.9
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:79,30:100:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:11,22.5:32:.7,.7

